entry_time,exit_time,entry_price,exit_price,position_sz,initial_sl,trailing_sl,tp_price,pnl_usd,exit_reason,atr_entry,bars_held,proba_dnn,proba_xgb
2025-04-30 13:00:00,2025-04-30 15:00:00,3272.56,3289.92,65.8155,3257.37,3266.71,3289.92,1142.86,take_profit,10.85,2,0.4675,0.6585
2025-05-01 06:00:00,2025-05-01 14:00:00,3229.45,3206.83,44.706,3206.83,3206.83,3255.31,-1011.43,trailing_stop,16.16,8,0.4831,0.6491
2025-05-01 14:00:00,2025-05-01 15:00:00,3205.56,3231.12,44.7675,3183.19,3183.19,3231.12,1144.36,take_profit,15.98,1,0.6798,0.7852
2025-05-01 15:00:00,2025-05-02 06:00:00,3226.83,3253.75,42.9955,3203.27,3203.27,3253.75,1157.44,take_profit,16.83,14,0.5174,0.7837
2025-05-08 22:00:00,2025-05-09 05:00:00,3306.37,3281.67,41.4693,3281.67,3281.67,3334.6,-1024.33,trailing_stop,17.64,6,0.3724,0.809
2025-05-09 05:00:00,2025-05-09 14:00:00,3308.29,3338.16,38.796,3282.15,3282.15,3338.16,1158.96,take_profit,18.67,9,0.3928,0.8323
2025-05-12 04:00:00,2025-05-12 10:00:00,3271.87,3248.72,44.3096,3248.72,3248.72,3298.32,-1025.68,trailing_stop,16.53,6,0.4625,0.5976
2025-05-12 10:00:00,2025-05-13 08:00:00,3222.72,3253.6,37.5832,3195.7,3195.7,3253.6,1160.48,take_profit,19.3,21,0.4589,0.8936
2025-05-14 17:00:00,2025-05-15 05:00:00,3181.86,3161.76,51.0984,3161.76,3161.76,3204.83,-1027.03,trailing_stop,14.36,11,0.5138,0.5736
2025-05-15 05:00:00,2025-05-15 08:00:00,3153.85,3132.99,48.7513,3132.99,3132.99,3177.69,-1016.76,trailing_stop,14.9,3,0.6464,0.9074
2025-05-15 08:00:00,2025-05-15 09:00:00,3128.75,3148.98,56.8662,3111.05,3111.05,3148.98,1150.39,take_profit,12.64,1,0.7679,0.9318
2025-05-15 09:00:00,2025-05-15 13:00:00,3149.92,3173.07,50.2538,3129.66,3129.66,3173.07,1163.53,take_profit,14.47,4,0.6039,0.6108
2025-05-27 11:00:00,2025-05-28 03:00:00,3298.56,3315.05,71.3751,3284.13,3284.13,3315.05,1176.83,take_profit,10.31,15,0.5131,0.696
2025-06-09 04:00:00,2025-06-09 08:00:00,3295.86,3316.26,58.3537,3278.01,3278.01,3316.26,1190.28,take_profit,12.75,4,0.6418,0.7215
2025-06-09 11:00:00,2025-06-09 19:00:00,3319.81,3334.98,79.3641,3306.54,3306.54,3334.98,1203.88,take_profit,9.48,8,0.5769,0.5615
2025-06-16 21:00:00,2025-06-17 17:00:00,3385.28,3369.41,67.148,3369.41,3369.41,3403.41,-1065.44,trailing_stop,11.33,19,0.3807,0.7155
2025-06-20 08:00:00,2025-06-20 12:00:00,3344.72,3358.48,87.6357,3332.68,3332.68,3358.48,1205.47,take_profit,8.6,4,0.5483,0.6132
2025-06-20 15:00:00,2025-06-20 16:00:00,3344.48,3344.16,89.9982,3332.63,3344.16,3358.03,-28.35,trailing_stop,8.47,1,0.5703,0.6539
2025-06-24 16:00:00,2025-06-24 22:00:00,3302.04,3323.19,57.6236,3283.53,3283.53,3323.19,1218.92,take_profit,13.22,6,0.558,0.568
2025-06-24 23:00:00,2025-06-26 02:00:00,3322.81,3339.88,72.2196,3307.87,3307.87,3339.88,1232.85,take_profit,10.67,25,0.5584,0.6383
